left,right,left_mean_f2p,right_mean_f2p,paired_tasks,matched_tasks,left_cost_usd_imputed,right_cost_usd_imputed
claude:claude-opus-4-8:high:stock,claude:claude-opus-4-8:high:symnav@7f45343f6e7e,0.0,0.0,abs-module-cache-flags abs-stepped-slices actionlint-action-pinning-lint adaptix-name-mapping-aliases aiomonitor-task-snapshots-diff,,,
claude:claude-sonnet-4-5:low:stock,claude:claude-sonnet-4-5:low:symnav@05dda73f3803,0.5254953984602359,0.57292711116883,arktype-json-schema-refs-dependencies awilix-async-container-initialization clack-async-autocomplete-options claude-code-by-agents-recursive-delegation cliffy-config-file-parsing drizzle-orm-window-function-builders dynamodb-toolbox-conditional-attribute-requirements dynamodb-toolbox-lazy-recursive-schemas effect-sse-httpapi-streaming eicrud-keyset-pagination-cursor happy-dom-abort-pending-body-reads happy-dom-deterministic-intersectionobserver httpx-deterministic-cookie-store ink-grid-box-layout kea-atomic-signal-selectors koota-composite-trait-aspects koota-deferred-mutation-buffer koota-pair-relation-tracking koota-query-predicates kysely-window-grouping-helpers meriyah-explicit-resource-declarations obsidian-linter-auto-table-of-contents obsidian-linter-link-format-conversion obsidian-linter-scoped-ignore-markers ofetch-per-origin-circuit-breaker optique-conditional-option-dependencies prometheus-transactional-reload-status query-persist-restored-query-state quill-shared-toolbar-focus sql-formatter-bigquery-pipe-formatting superjson-error-stack-serialization true-myth-iterable-collection-combinators ts-pattern-match-each valibot-recursive-schema-composition vitest-duration-sharding,,,
claude:claude-sonnet-4-5:low:stock,claude:claude-sonnet-4-5:low:symnav@5f9f93834c93,0.5254953984602359,0.3761112196816711,eicrud-keyset-pagination-cursor happy-dom-deterministic-intersectionobserver kea-atomic-signal-selectors koota-query-predicates ts-pattern-match-each valibot-recursive-schema-composition,,,
claude:claude-sonnet-4-5:medium:stock,claude:claude-sonnet-4-5:medium:symnav@05dda73f3803,0.5735745602789143,0.5218168727825523,arktype-json-schema-refs-dependencies awilix-async-container-initialization clack-async-autocomplete-options claude-code-by-agents-recursive-delegation cliffy-config-file-parsing drizzle-orm-window-function-builders dynamodb-toolbox-conditional-attribute-requirements dynamodb-toolbox-lazy-recursive-schemas effect-sse-httpapi-streaming eicrud-keyset-pagination-cursor happy-dom-abort-pending-body-reads happy-dom-deterministic-intersectionobserver httpx-deterministic-cookie-store ink-grid-box-layout kea-atomic-signal-selectors koota-composite-trait-aspects koota-deferred-mutation-buffer koota-pair-relation-tracking koota-query-predicates kysely-window-grouping-helpers meriyah-explicit-resource-declarations obsidian-linter-auto-table-of-contents obsidian-linter-link-format-conversion obsidian-linter-scoped-ignore-markers ofetch-per-origin-circuit-breaker optique-conditional-option-dependencies prometheus-transactional-reload-status query-persist-restored-query-state quill-shared-toolbar-focus sql-formatter-bigquery-pipe-formatting superjson-error-stack-serialization true-myth-iterable-collection-combinators ts-pattern-match-each valibot-recursive-schema-composition vitest-duration-sharding,,,
codex:gpt-5.4:low:stock,codex:gpt-5.4:low:symnav@05dda73f3803,0.8059128078459311,0.7528140572193825,arktype-json-schema-refs-dependencies awilix-async-container-initialization clack-async-autocomplete-options claude-code-by-agents-recursive-delegation cliffy-config-file-parsing drizzle-orm-window-function-builders dynamodb-toolbox-conditional-attribute-requirements dynamodb-toolbox-lazy-recursive-schemas effect-sse-httpapi-streaming eicrud-keyset-pagination-cursor happy-dom-abort-pending-body-reads happy-dom-deterministic-intersectionobserver httpx-deterministic-cookie-store ink-grid-box-layout kea-atomic-signal-selectors koota-composite-trait-aspects koota-deferred-mutation-buffer koota-pair-relation-tracking koota-query-predicates kysely-window-grouping-helpers meriyah-explicit-resource-declarations obsidian-linter-auto-table-of-contents obsidian-linter-link-format-conversion obsidian-linter-scoped-ignore-markers ofetch-per-origin-circuit-breaker optique-conditional-option-dependencies prometheus-transactional-reload-status query-persist-restored-query-state quill-shared-toolbar-focus sql-formatter-bigquery-pipe-formatting superjson-error-stack-serialization true-myth-iterable-collection-combinators ts-pattern-match-each valibot-recursive-schema-composition vitest-duration-sharding,kysely-window-grouping-helpers meriyah-explicit-resource-declarations ofetch-per-origin-circuit-breaker query-persist-restored-query-state,1.73316625,1.63539325
codex:gpt-5.4-mini:low:stock,codex:gpt-5.4-mini:low:symnav-context@53df2ac6b5dc,0.48440155312080296,0.4097222222222222,awilix-async-container-initialization effect-sse-httpapi-streaming kea-atomic-signal-selectors query-persist-restored-query-state ts-pattern-match-each valibot-recursive-schema-composition,query-persist-restored-query-state,0.50963403,0.5935143
codex:gpt-5.4-mini:low:stock,codex:gpt-5.4-mini:low:symnav-def@53df2ac6b5dc,0.48440155312080296,0.3458333333333333,awilix-async-container-initialization effect-sse-httpapi-streaming kea-atomic-signal-selectors query-persist-restored-query-state ts-pattern-match-each valibot-recursive-schema-composition,query-persist-restored-query-state,0.50963403,0.37231545
codex:gpt-5.4-mini:low:stock,codex:gpt-5.4-mini:low:symnav-graph@53df2ac6b5dc,0.48440155312080296,0.17916666666666667,awilix-async-container-initialization effect-sse-httpapi-streaming kea-atomic-signal-selectors query-persist-restored-query-state ts-pattern-match-each valibot-recursive-schema-composition,,,
codex:gpt-5.4-mini:low:stock,codex:gpt-5.4-mini:low:symnav-overview-context@53df2ac6b5dc,0.48440155312080296,0.3993203309692671,awilix-async-container-initialization effect-sse-httpapi-streaming kea-atomic-signal-selectors query-persist-restored-query-state ts-pattern-match-each valibot-recursive-schema-composition,query-persist-restored-query-state,0.50963403,0.36284625
codex:gpt-5.4-mini:low:stock,codex:gpt-5.4-mini:low:symnav-overview-context@8fa615582af5,0.48440155312080296,0.5861613065518383,arktype-json-schema-refs-dependencies awilix-async-container-initialization clack-async-autocomplete-options claude-code-by-agents-recursive-delegation cliffy-config-file-parsing drizzle-orm-window-function-builders dynamodb-toolbox-conditional-attribute-requirements dynamodb-toolbox-lazy-recursive-schemas effect-sse-httpapi-streaming eicrud-keyset-pagination-cursor happy-dom-abort-pending-body-reads happy-dom-deterministic-intersectionobserver httpx-deterministic-cookie-store ink-grid-box-layout kea-atomic-signal-selectors koota-composite-trait-aspects koota-deferred-mutation-buffer koota-pair-relation-tracking koota-query-predicates kysely-window-grouping-helpers meriyah-explicit-resource-declarations obsidian-linter-auto-table-of-contents obsidian-linter-link-format-conversion obsidian-linter-scoped-ignore-markers ofetch-per-origin-circuit-breaker optique-conditional-option-dependencies prometheus-transactional-reload-status query-persist-restored-query-state quill-shared-toolbar-focus sql-formatter-bigquery-pipe-formatting superjson-error-stack-serialization true-myth-iterable-collection-combinators ts-pattern-match-each valibot-recursive-schema-composition vitest-duration-sharding,happy-dom-deterministic-intersectionobserver query-persist-restored-query-state true-myth-iterable-collection-combinators,0.42952362,0.4891233
codex:gpt-5.4-mini:low:stock,codex:gpt-5.4-mini:low:symnav-overview-def@53df2ac6b5dc,0.48440155312080296,0.4222222222222222,awilix-async-container-initialization effect-sse-httpapi-streaming kea-atomic-signal-selectors query-persist-restored-query-state ts-pattern-match-each valibot-recursive-schema-composition,,,
