dirname,status,solved,f2p,cost_usd_imputed
claude-claude-opus-4-8-high-stock-abs-module-cache-flags-rep2,error,False,,
claude-claude-opus-4-8-high-stock-abs-stepped-slices-rep2,error,False,,
claude-claude-opus-4-8-high-stock-actionlint-action-pinning-lint-rep2,error,False,,
claude-claude-opus-4-8-high-stock-adaptix-name-mapping-aliases-rep2,error,False,,
claude-claude-opus-4-8-high-stock-aiomonitor-task-snapshots-diff-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-abs-module-cache-flags-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-abs-stepped-slices-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-actionlint-action-pinning-lint-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-adaptix-name-mapping-aliases-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-aiomonitor-task-snapshots-diff-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-anko-default-function-arguments-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-arcane-drift-detection-baselines-rep2,error,False,,
codex-gpt-5.4-mini-low-stock-eicrud-keyset-pagination-cursor-rep3,completed,False,0.5714285714285714,0.2034987
codex-gpt-5.4-mini-low-stock-eicrud-keyset-pagination-cursor-rep4,completed,False,0.5714285714285714,0.16635450000000002
codex-gpt-5.4-mini-low-stock-eicrud-keyset-pagination-cursor-rep5,completed,False,0.0,0.25316535
codex-gpt-5.4-mini-low-stock-happy-dom-deterministic-intersectionobserver-rep3,completed,True,1.0,0.19269884999999998
codex-gpt-5.4-mini-low-stock-happy-dom-deterministic-intersectionobserver-rep4,completed,False,0.8571428571428571,0.20388420000000002
codex-gpt-5.4-mini-low-stock-happy-dom-deterministic-intersectionobserver-rep5,completed,False,0.7142857142857143,0.19973295000000002
codex-gpt-5.4-mini-low-stock-kea-atomic-signal-selectors-rep3,completed,False,0.5,0.26482695
codex-gpt-5.4-mini-low-stock-kea-atomic-signal-selectors-rep4,completed,False,0.3333333333333333,0.2591871
codex-gpt-5.4-mini-low-stock-kea-atomic-signal-selectors-rep5,completed,False,0.0,0.3510666
codex-gpt-5.4-mini-low-stock-koota-query-predicates-rep4,completed,False,0.023255813953488372,0.52303305
