row_json
"{""adoption"":{""command_counts"":{},""first_symnav_step"":null,""patch_calls"":0,""read_calls"":7,""read_symnav_skill"":false,""search_calls"":2,""symnav_calls"":0,""symnav_calls_per_agent_step"":0.0,""symnav_failures"":0,""symnav_timeouts"":0,""used_symnav"":false},""artifacts"":{""archive_path"":""attempts/4bf31b44075545a481247ab1d707a3cb"",""archive_sha256"":""6ab31aec1e3dfa372c14910d95456cb4ef530e67e99ac61105926d61bd0a2d51"",""archive_url"":""deepswe-ts-codex-terra-medium-v030-deepswe-ts-codex-terra-medium-v030-codex-gpt-5.6-terra-medium-batch-002-31315500326-1.tar.gz"",""direct_urls"":{}},""attempt_id"":""4bf31b44075545a481247ab1d707a3cb"",""benchmark"":""deepswe"",""condition"":""stock"",""configuration_id"":""codex-gpt-5.6-terra-medium"",""detail"":null,""outcome"":""passed"",""repetition"":1,""retry_reason"":null,""rewards"":{""f2p"":1.0,""f2p_passed"":25,""f2p_total"":25,""p2p"":1.0,""p2p_passed"":1679,""p2p_total"":1679,""partial"":1.0,""reward"":1},""scored_failure_reason"":null,""slot_id"":""bc6961a9777acb69cfcfcfb7af57183b42cb4014bdfeca69428d91e0410f032f"",""task"":""arktype-json-schema-refs-dependencies"",""tier"":null,""timing"":{""finished_at"":""2026-08-09T14:25:24.858118Z"",""started_at"":""2026-08-09T14:12:03.006961Z""},""usage"":{""cost_usd_imputed"":1.0742208,""n_agent_steps"":51,""n_cache_tokens"":3304704,""n_input_tokens"":3408894,""n_output_tokens"":17075,""peak_context_tokens"":87549},""written_at"":""2026-08-09T14:25:25.347830+00:00""}"
"{""adoption"":{""command_counts"":{""overview"":1,""refs"":1},""first_symnav_step"":8,""patch_calls"":0,""read_calls"":5,""read_symnav_skill"":false,""search_calls"":3,""symnav_calls"":2,""symnav_calls_per_agent_step"":0.05405405405405406,""symnav_failures"":0,""symnav_timeouts"":0,""used_symnav"":true},""artifacts"":{""archive_path"":""attempts/668e0d078d8c47da8e94f4a989b43fcd"",""archive_sha256"":""6ab31aec1e3dfa372c14910d95456cb4ef530e67e99ac61105926d61bd0a2d51"",""archive_url"":""deepswe-ts-codex-terra-medium-v030-deepswe-ts-codex-terra-medium-v030-codex-gpt-5.6-terra-medium-batch-002-31315500326-1.tar.gz"",""direct_urls"":{}},""attempt_id"":""668e0d078d8c47da8e94f4a989b43fcd"",""benchmark"":""deepswe"",""condition"":""symnav"",""configuration_id"":""codex-gpt-5.6-terra-medium"",""detail"":null,""outcome"":""passed"",""repetition"":1,""retry_reason"":null,""rewards"":{""f2p"":1.0,""f2p_passed"":25,""f2p_total"":25,""p2p"":1.0,""p2p_passed"":1679,""p2p_total"":1679,""partial"":1.0,""reward"":1},""scored_failure_reason"":null,""slot_id"":""64eaeb094d706c5ecf17c852f6a5d2196f7eb8edb6e5034117146e8dc8572e8b"",""task"":""arktype-json-schema-refs-dependencies"",""tier"":null,""timing"":{""finished_at"":""2026-08-09T14:24:12.004061Z"",""started_at"":""2026-08-09T14:12:13.282379Z""},""usage"":{""cost_usd_imputed"":0.8349167999999999,""n_agent_steps"":37,""n_cache_tokens"":2155264,""n_input_tokens"":2249694,""n_output_tokens"":17917,""peak_context_tokens"":81135},""written_at"":""2026-08-09T14:24:12.529248+00:00""}"
"{""adoption"":{""command_counts"":{},""first_symnav_step"":null,""patch_calls"":0,""read_calls"":8,""read_symnav_skill"":false,""search_calls"":0,""symnav_calls"":0,""symnav_calls_per_agent_step"":0.0,""symnav_failures"":0,""symnav_timeouts"":0,""used_symnav"":false},""artifacts"":{""archive_path"":""attempts/eb501f55944f4109aa084beaa2fdfa26"",""archive_sha256"":""122a93b7e7c86f84fbf1dc5bc5e9c532c6f82f24774b0b9ab432da9cade2e244"",""archive_url"":""deepswe-ts-codex-terra-medium-v030-deepswe-ts-codex-terra-medium-v030-codex-gpt-5.6-terra-medium-batch-001-31302563666-1.tar.gz"",""direct_urls"":{}},""attempt_id"":""eb501f55944f4109aa084beaa2fdfa26"",""benchmark"":""deepswe"",""condition"":""stock"",""configuration_id"":""codex-gpt-5.6-terra-medium"",""detail"":""missing verifier reward"",""outcome"":""failed"",""repetition"":2,""retry_reason"":null,""rewards"":{""f2p"":0.92,""f2p_passed"":23,""f2p_total"":25,""p2p"":1.0,""p2p_passed"":1679,""p2p_total"":1679,""partial"":0.9988262910798122,""reward"":0},""scored_failure_reason"":""verifier"",""slot_id"":""73aff9b507f45cd90c30c80c0ef425ff855c318e006cc13947be9ee0618fdcc4"",""task"":""arktype-json-schema-refs-dependencies"",""tier"":null,""timing"":{""finished_at"":""2026-08-09T10:13:42.113796Z"",""started_at"":""2026-08-09T10:02:34.810946Z""},""usage"":{""cost_usd_imputed"":0.8670952,""n_agent_steps"":46,""n_cache_tokens"":2541056,""n_input_tokens"":2632526,""n_output_tokens"":14662,""peak_context_tokens"":73456},""written_at"":""2026-08-09T10:13:42.624127+00:00""}"
"{""adoption"":{""command_counts"":{""overview"":1,""refs"":1},""first_symnav_step"":10,""patch_calls"":0,""read_calls"":1,""read_symnav_skill"":false,""search_calls"":3,""symnav_calls"":2,""symnav_calls_per_agent_step"":0.05555555555555555,""symnav_failures"":0,""symnav_timeouts"":0,""used_symnav"":true},""artifacts"":{""archive_path"":""attempts/d1be4973ccf940aaa5f424290116c913"",""archive_sha256"":""122a93b7e7c86f84fbf1dc5bc5e9c532c6f82f24774b0b9ab432da9cade2e244"",""archive_url"":""deepswe-ts-codex-terra-medium-v030-deepswe-ts-codex-terra-medium-v030-codex-gpt-5.6-terra-medium-batch-001-31302563666-1.tar.gz"",""direct_urls"":{}},""attempt_id"":""d1be4973ccf940aaa5f424290116c913"",""benchmark"":""deepswe"",""condition"":""symnav"",""configuration_id"":""codex-gpt-5.6-terra-medium"",""detail"":""missing verifier reward"",""outcome"":""failed"",""repetition"":2,""retry_reason"":null,""rewards"":{""f2p"":0.96,""f2p_passed"":24,""f2p_total"":25,""p2p"":0.9994044073853484,""p2p_passed"":1678,""p2p_total"":1679,""partial"":0.9988262910798122,""reward"":0},""scored_failure_reason"":""verifier"",""slot_id"":""5861eafea1f78baa03ea34defff9d2ff4f3c1b143ff012636937ac09983731a2"",""task"":""arktype-json-schema-refs-dependencies"",""tier"":null,""timing"":{""finished_at"":""2026-08-09T10:15:02.664706Z"",""started_at"":""2026-08-09T10:02:53.476070Z""},""usage"":{""cost_usd_imputed"":0.6418904,""n_agent_steps"":36,""n_cache_tokens"":1718272,""n_input_tokens"":1790398,""n_output_tokens"":12832,""peak_context_tokens"":61714},""written_at"":""2026-08-09T10:15:03.186441+00:00""}"
"{""adoption"":{""command_counts"":{},""first_symnav_step"":null,""patch_calls"":0,""read_calls"":6,""read_symnav_skill"":false,""search_calls"":6,""symnav_calls"":0,""symnav_calls_per_agent_step"":0.0,""symnav_failures"":0,""symnav_timeouts"":0,""used_symnav"":false},""artifacts"":{""archive_path"":""attempts/0f39f1452958467aaf4e4c26419d40ef"",""archive_sha256"":""122a93b7e7c86f84fbf1dc5bc5e9c532c6f82f24774b0b9ab432da9cade2e244"",""archive_url"":""deepswe-ts-codex-terra-medium-v030-deepswe-ts-codex-terra-medium-v030-codex-gpt-5.6-terra-medium-batch-001-31302563666-1.tar.gz"",""direct_urls"":{}},""attempt_id"":""0f39f1452958467aaf4e4c26419d40ef"",""benchmark"":""deepswe"",""condition"":""stock"",""configuration_id"":""codex-gpt-5.6-terra-medium"",""detail"":""missing verifier reward"",""outcome"":""failed"",""repetition"":3,""retry_reason"":null,""rewards"":{""f2p"":0.92,""f2p_passed"":23,""f2p_total"":25,""p2p"":1.0,""p2p_passed"":1679,""p2p_total"":1679,""partial"":0.9988262910798122,""reward"":0},""scored_failure_reason"":""verifier"",""slot_id"":""3741b4d8b1c5b8a74be1422aa2964528448ea8e663dd79daad66241a497d301c"",""task"":""arktype-json-schema-refs-dependencies"",""tier"":null,""timing"":{""finished_at"":""2026-08-09T10:00:21.761698Z"",""started_at"":""2026-08-09T09:48:55.309299Z""},""usage"":{""cost_usd_imputed"":0.7790056000000001,""n_agent_steps"":40,""n_cache_tokens"":2147328,""n_input_tokens"":2241314,""n_output_tokens"":13464,""peak_context_tokens"":83149},""written_at"":""2026-08-09T10:00:22.368654+00:00""}"
"{""adoption"":{""command_counts"":{""overview"":1,""refs"":1},""first_symnav_step"":9,""patch_calls"":0,""read_calls"":2,""read_symnav_skill"":false,""search_calls"":3,""symnav_calls"":2,""symnav_calls_per_agent_step"":0.029850746268656716,""symnav_failures"":0,""symnav_timeouts"":0,""used_symnav"":true},""artifacts"":{""archive_path"":""attempts/d0d853f6f6c7418d99a8d6137a19720b"",""archive_sha256"":""122a93b7e7c86f84fbf1dc5bc5e9c532c6f82f24774b0b9ab432da9cade2e244"",""archive_url"":""deepswe-ts-codex-terra-medium-v030-deepswe-ts-codex-terra-medium-v030-codex-gpt-5.6-terra-medium-batch-001-31302563666-1.tar.gz"",""direct_urls"":{}},""attempt_id"":""d0d853f6f6c7418d99a8d6137a19720b"",""benchmark"":""deepswe"",""condition"":""symnav"",""configuration_id"":""codex-gpt-5.6-terra-medium"",""detail"":""missing verifier reward"",""outcome"":""failed"",""repetition"":3,""retry_reason"":null,""rewards"":{""f2p"":0.92,""f2p_passed"":23,""f2p_total"":25,""p2p"":1.0,""p2p_passed"":1679,""p2p_total"":1679,""partial"":0.9988262910798122,""reward"":0},""scored_failure_reason"":""verifier"",""slot_id"":""275f19636bb484c20ba29231f47288b71419948d8c32aab599ed5587397753fb"",""task"":""arktype-json-schema-refs-dependencies"",""tier"":null,""timing"":{""finished_at"":""2026-08-09T10:04:56.830098Z"",""started_at"":""2026-08-09T09:49:11.234637Z""},""usage"":{""cost_usd_imputed"":1.6369663999999997,""n_agent_steps"":67,""n_cache_tokens"":5513472,""n_input_tokens"":5650948,""n_output_tokens"":21610,""peak_context_tokens"":108834},""written_at"":""2026-08-09T10:04:57.403611+00:00""}"
"{""adoption"":{""command_counts"":{},""first_symnav_step"":null,""patch_calls"":0,""read_calls"":3,""read_symnav_skill"":false,""search_calls"":2,""symnav_calls"":0,""symnav_calls_per_agent_step"":0.0,""symnav_failures"":0,""symnav_timeouts"":0,""used_symnav"":false},""artifacts"":{""archive_path"":""attempts/b43c937b02034265a3dab8b592df557d"",""archive_sha256"":""122a93b7e7c86f84fbf1dc5bc5e9c532c6f82f24774b0b9ab432da9cade2e244"",""archive_url"":""deepswe-ts-codex-terra-medium-v030-deepswe-ts-codex-terra-medium-v030-codex-gpt-5.6-terra-medium-batch-001-31302563666-1.tar.gz"",""direct_urls"":{}},""attempt_id"":""b43c937b02034265a3dab8b592df557d"",""benchmark"":""deepswe"",""condition"":""stock"",""configuration_id"":""codex-gpt-5.6-terra-medium"",""detail"":""missing verifier reward"",""outcome"":""failed"",""repetition"":4,""retry_reason"":null,""rewards"":{""f2p"":0.92,""f2p_passed"":23,""f2p_total"":25,""p2p"":1.0,""p2p_passed"":1679,""p2p_total"":1679,""partial"":0.9988262910798122,""reward"":0},""scored_failure_reason"":""verifier"",""slot_id"":""204e4c88f79f8bb237655b87c6df96fa93073fdf8a0bcdff23d58f42ac9ae384"",""task"":""arktype-json-schema-refs-dependencies"",""tier"":null,""timing"":{""finished_at"":""2026-08-09T08:30:33.384553Z"",""started_at"":""2026-08-09T08:20:56.331918Z""},""usage"":{""cost_usd_imputed"":0.5475256,""n_agent_steps"":31,""n_cache_tokens"":1385728,""n_input_tokens"":1455374,""n_output_tokens"":10924,""peak_context_tokens"":61317},""written_at"":""2026-08-09T08:30:33.812804+00:00""}"
"{""adoption"":{""command_counts"":{""overview"":1,""refs"":1},""first_symnav_step"":10,""patch_calls"":0,""read_calls"":5,""read_symnav_skill"":false,""search_calls"":4,""symnav_calls"":2,""symnav_calls_per_agent_step"":0.04081632653061224,""symnav_failures"":0,""symnav_timeouts"":0,""used_symnav"":true},""artifacts"":{""archive_path"":""attempts/fc925155b8c24d8391fccb7009828c81"",""archive_sha256"":""122a93b7e7c86f84fbf1dc5bc5e9c532c6f82f24774b0b9ab432da9cade2e244"",""archive_url"":""deepswe-ts-codex-terra-medium-v030-deepswe-ts-codex-terra-medium-v030-codex-gpt-5.6-terra-medium-batch-001-31302563666-1.tar.gz"",""direct_urls"":{}},""attempt_id"":""fc925155b8c24d8391fccb7009828c81"",""benchmark"":""deepswe"",""condition"":""symnav"",""configuration_id"":""codex-gpt-5.6-terra-medium"",""detail"":null,""outcome"":""passed"",""repetition"":4,""retry_reason"":null,""rewards"":{""f2p"":1.0,""f2p_passed"":25,""f2p_total"":25,""p2p"":1.0,""p2p_passed"":1679,""p2p_total"":1679,""partial"":1.0,""reward"":1},""scored_failure_reason"":null,""slot_id"":""79cb27138ec4f0b678daf95caee0d0f8c06b0997bcbc4bbcf295b6e341c1bc58"",""task"":""arktype-json-schema-refs-dependencies"",""tier"":null,""timing"":{""finished_at"":""2026-08-09T08:36:01.173610Z"",""started_at"":""2026-08-09T08:22:24.177549Z""},""usage"":{""cost_usd_imputed"":1.037884,""n_agent_steps"":49,""n_cache_tokens"":3096320,""n_input_tokens"":3199124,""n_output_tokens"":17751,""peak_context_tokens"":84645},""written_at"":""2026-08-09T08:36:01.617812+00:00""}"
"{""adoption"":{""command_counts"":{},""first_symnav_step"":null,""patch_calls"":0,""read_calls"":1,""read_symnav_skill"":false,""search_calls"":0,""symnav_calls"":0,""symnav_calls_per_agent_step"":0.0,""symnav_failures"":0,""symnav_timeouts"":0,""used_symnav"":false},""artifacts"":{""archive_path"":""attempts/7fda7bf1c49f45b687f168b568f7dba7"",""archive_sha256"":""6ab31aec1e3dfa372c14910d95456cb4ef530e67e99ac61105926d61bd0a2d51"",""archive_url"":""deepswe-ts-codex-terra-medium-v030-deepswe-ts-codex-terra-medium-v030-codex-gpt-5.6-terra-medium-batch-002-31315500326-1.tar.gz"",""direct_urls"":{}},""attempt_id"":""7fda7bf1c49f45b687f168b568f7dba7"",""benchmark"":""deepswe"",""condition"":""stock"",""configuration_id"":""codex-gpt-5.6-terra-medium"",""detail"":""missing verifier reward"",""outcome"":""failed"",""repetition"":1,""retry_reason"":null,""rewards"":{""f2p"":0.9583333333333334,""f2p_passed"":23,""f2p_total"":24,""p2p"":1.0,""p2p_passed"":162,""p2p_total"":162,""partial"":0.9946236559139785,""reward"":0},""scored_failure_reason"":""verifier"",""slot_id"":""0635d9556c0026af5b67ac4aa53cb25b2cd248bd3b1cd735bd20814dd4c32d01"",""task"":""awilix-async-container-initialization"",""tier"":null,""timing"":{""finished_at"":""2026-08-09T14:25:46.125917Z"",""started_at"":""2026-08-09T14:19:20.615938Z""},""usage"":{""cost_usd_imputed"":0.3184096,""n_agent_steps"":19,""n_cache_tokens"":556288,""n_input_tokens"":599390,""n_output_tokens"":10079,""peak_context_tokens"":40836},""written_at"":""2026-08-09T14:25:46.653549+00:00""}"
"{""adoption"":{""command_counts"":{""context"":1,""overview"":2},""first_symnav_step"":7,""patch_calls"":0,""read_calls"":1,""read_symnav_skill"":false,""search_calls"":1,""symnav_calls"":3,""symnav_calls_per_agent_step"":0.10714285714285714,""symnav_failures"":0,""symnav_timeouts"":0,""used_symnav"":true},""artifacts"":{""archive_path"":""attempts/12f00fcddbc34223b712facbd12a1ae0"",""archive_sha256"":""6ab31aec1e3dfa372c14910d95456cb4ef530e67e99ac61105926d61bd0a2d51"",""archive_url"":""deepswe-ts-codex-terra-medium-v030-deepswe-ts-codex-terra-medium-v030-codex-gpt-5.6-terra-medium-batch-002-31315500326-1.tar.gz"",""direct_urls"":{}},""attempt_id"":""12f00fcddbc34223b712facbd12a1ae0"",""benchmark"":""deepswe"",""condition"":""symnav"",""configuration_id"":""codex-gpt-5.6-terra-medium"",""detail"":""missing verifier reward"",""outcome"":""failed"",""repetition"":1,""retry_reason"":null,""rewards"":{""f2p"":0.9166666666666666,""f2p_passed"":22,""f2p_total"":24,""p2p"":1.0,""p2p_passed"":162,""p2p_total"":162,""partial"":0.989247311827957,""reward"":0},""scored_failure_reason"":""verifier"",""slot_id"":""ab257b5933f37b181ac5c2d934d62b66c994a03a51dbeba26ca185c06fae2cd4"",""task"":""awilix-async-container-initialization"",""tier"":null,""timing"":{""finished_at"":""2026-08-09T14:28:11.531610Z"",""started_at"":""2026-08-09T14:20:05.087290Z""},""usage"":{""cost_usd_imputed"":0.5289408,""n_agent_steps"":28,""n_cache_tokens"":1219584,""n_input_tokens"":1283508,""n_output_tokens"":13098,""peak_context_tokens"":57927},""written_at"":""2026-08-09T14:28:12.074061+00:00""}"
